method,family,dim,bytes_per_embedding,compression,spearman
RandRot-128-s3 topm-96,Random rotation top-m int8,128,288,5.333333333333333,0.8599532055625295
RandRot-128-s3 topm-128,Random rotation top-m int8,128,384,4.0,0.8610329340656687
RandRot-128-s4 topm-4,Random rotation top-m int8,128,12,128.0,0.6349395720373677
RandRot-128-s4 topm-8,Random rotation top-m int8,128,24,64.0,0.7422236694805306
RandRot-128-s4 topm-12,Random rotation top-m int8,128,36,42.666666666666664,0.7862609095305142
RandRot-128-s4 topm-16,Random rotation top-m int8,128,48,32.0,0.8095811776039387
RandRot-128-s4 topm-24,Random rotation top-m int8,128,72,21.333333333333332,0.83283868507115
RandRot-128-s4 topm-32,Random rotation top-m int8,128,96,16.0,0.841755755281855
RandRot-128-s4 topm-48,Random rotation top-m int8,128,144,10.666666666666666,0.8501625493397009
RandRot-128-s4 topm-64,Random rotation top-m int8,128,192,8.0,0.8593617015956074
RandRot-128-s4 topm-96,Random rotation top-m int8,128,288,5.333333333333333,0.860804513979208
RandRot-128-s4 topm-128,Random rotation top-m int8,128,384,4.0,0.8609198681513419
RandRot-128-s5 topm-4,Random rotation top-m int8,128,12,128.0,0.6325083334880481
RandRot-128-s5 topm-8,Random rotation top-m int8,128,24,64.0,0.7377805750627148
RandRot-128-s5 topm-12,Random rotation top-m int8,128,36,42.666666666666664,0.7863175022965809
RandRot-128-s5 topm-16,Random rotation top-m int8,128,48,32.0,0.81145358543739
RandRot-128-s5 topm-24,Random rotation top-m int8,128,72,21.333333333333332,0.8273474446267823
RandRot-128-s5 topm-32,Random rotation top-m int8,128,96,16.0,0.8400114177791366
RandRot-128-s5 topm-48,Random rotation top-m int8,128,144,10.666666666666666,0.8506245122919586
RandRot-128-s5 topm-64,Random rotation top-m int8,128,192,8.0,0.8556431438692487
RandRot-128-s5 topm-96,Random rotation top-m int8,128,288,5.333333333333333,0.8607339356386862
RandRot-128-s5 topm-128,Random rotation top-m int8,128,384,4.0,0.8608415887378899
PCA-192 float32,PCA float32,192,768,2.0,0.8667777511974881
