method,family,dim,stored_dim,bytes_per_embedding,compression,spearman
GlobalTopM PCA-128 m=64 energy,GlobalTopM-energy,128,64,64,24.0,0.8444002695623783
GlobalTopM PCA-192 m=64 mean_abs,GlobalTopM-mean_abs,192,64,64,24.0,0.8444002695623783
GlobalTopM PCA-192 m=64 variance,GlobalTopM-variance,192,64,64,24.0,0.8444002695623783
GlobalTopM PCA-192 m=64 energy,GlobalTopM-energy,192,64,64,24.0,0.8444002695623783
GlobalTopM PCA-256 m=64 mean_abs,GlobalTopM-mean_abs,256,64,64,24.0,0.8444002695623783
GlobalTopM PCA-256 m=64 variance,GlobalTopM-variance,256,64,64,24.0,0.8444002695623783
GlobalTopM PCA-256 m=64 energy,GlobalTopM-energy,256,64,64,24.0,0.8444002695623783
GlobalTopM PCA-384 m=64 mean_abs,GlobalTopM-mean_abs,384,64,64,24.0,0.8444002695623783
GlobalTopM PCA-384 m=64 variance,GlobalTopM-variance,384,64,64,24.0,0.8444002695623783
GlobalTopM PCA-384 m=64 energy,GlobalTopM-energy,384,64,64,24.0,0.8444002695623783
GlobalTopM PCA-64 m=48 mean_abs,GlobalTopM-mean_abs,64,48,48,32.0,0.8310856625090574
GlobalTopM PCA-64 m=48 variance,GlobalTopM-variance,64,48,48,32.0,0.8310856625090574
GlobalTopM PCA-64 m=48 energy,GlobalTopM-energy,64,48,48,32.0,0.8310856625090574
GlobalTopM PCA-96 m=48 mean_abs,GlobalTopM-mean_abs,96,48,48,32.0,0.8310856625090574
GlobalTopM PCA-96 m=48 variance,GlobalTopM-variance,96,48,48,32.0,0.8310856625090574
GlobalTopM PCA-96 m=48 energy,GlobalTopM-energy,96,48,48,32.0,0.8310856625090574
GlobalTopM PCA-128 m=48 mean_abs,GlobalTopM-mean_abs,128,48,48,32.0,0.8310856625090574
GlobalTopM PCA-128 m=48 variance,GlobalTopM-variance,128,48,48,32.0,0.8310856625090574
GlobalTopM PCA-128 m=48 energy,GlobalTopM-energy,128,48,48,32.0,0.8310856625090574
GlobalTopM PCA-192 m=48 mean_abs,GlobalTopM-mean_abs,192,48,48,32.0,0.8310856625090574
GlobalTopM PCA-192 m=48 variance,GlobalTopM-variance,192,48,48,32.0,0.8310856625090574
GlobalTopM PCA-192 m=48 energy,GlobalTopM-energy,192,48,48,32.0,0.8310856625090574
GlobalTopM PCA-256 m=48 mean_abs,GlobalTopM-mean_abs,256,48,48,32.0,0.8310856625090574
GlobalTopM PCA-256 m=48 variance,GlobalTopM-variance,256,48,48,32.0,0.8310856625090574
GlobalTopM PCA-256 m=48 energy,GlobalTopM-energy,256,48,48,32.0,0.8310856625090574
GlobalTopM PCA-384 m=48 mean_abs,GlobalTopM-mean_abs,384,48,48,32.0,0.8310856625090574
GlobalTopM PCA-384 m=48 variance,GlobalTopM-variance,384,48,48,32.0,0.8310856625090574
GlobalTopM PCA-384 m=48 energy,GlobalTopM-energy,384,48,48,32.0,0.8310856625090574
GlobalTopM PCA-64 m=32 mean_abs,GlobalTopM-mean_abs,64,32,32,48.0,0.8076873961899286
GlobalTopM PCA-64 m=32 variance,GlobalTopM-variance,64,32,32,48.0,0.8076873961899286
GlobalTopM PCA-64 m=32 energy,GlobalTopM-energy,64,32,32,48.0,0.8076873961899286
GlobalTopM PCA-96 m=32 mean_abs,GlobalTopM-mean_abs,96,32,32,48.0,0.8076873961899286
GlobalTopM PCA-96 m=32 variance,GlobalTopM-variance,96,32,32,48.0,0.8076873961899286
GlobalTopM PCA-96 m=32 energy,GlobalTopM-energy,96,32,32,48.0,0.8076873961899286
GlobalTopM PCA-128 m=32 mean_abs,GlobalTopM-mean_abs,128,32,32,48.0,0.8076873961899286
GlobalTopM PCA-128 m=32 variance,GlobalTopM-variance,128,32,32,48.0,0.8076873961899286
GlobalTopM PCA-128 m=32 energy,GlobalTopM-energy,128,32,32,48.0,0.8076873961899286
GlobalTopM PCA-192 m=32 mean_abs,GlobalTopM-mean_abs,192,32,32,48.0,0.8076873961899286
GlobalTopM PCA-192 m=32 variance,GlobalTopM-variance,192,32,32,48.0,0.8076873961899286
GlobalTopM PCA-192 m=32 energy,GlobalTopM-energy,192,32,32,48.0,0.8076873961899286
GlobalTopM PCA-256 m=32 mean_abs,GlobalTopM-mean_abs,256,32,32,48.0,0.8076873961899286
GlobalTopM PCA-256 m=32 variance,GlobalTopM-variance,256,32,32,48.0,0.8076873961899286
GlobalTopM PCA-256 m=32 energy,GlobalTopM-energy,256,32,32,48.0,0.8076873961899286
GlobalTopM PCA-384 m=32 mean_abs,GlobalTopM-mean_abs,384,32,32,48.0,0.8076873961899286
GlobalTopM PCA-384 m=32 variance,GlobalTopM-variance,384,32,32,48.0,0.8076873961899286
GlobalTopM PCA-384 m=32 energy,GlobalTopM-energy,384,32,32,48.0,0.8076873961899286
GlobalTopM PCA-64 m=24 mean_abs,GlobalTopM-mean_abs,64,24,24,64.0,0.7873645771765274
GlobalTopM PCA-64 m=24 variance,GlobalTopM-variance,64,24,24,64.0,0.7873645771765274
GlobalTopM PCA-64 m=24 energy,GlobalTopM-energy,64,24,24,64.0,0.7873645771765274
GlobalTopM PCA-96 m=24 mean_abs,GlobalTopM-mean_abs,96,24,24,64.0,0.7873645771765274
GlobalTopM PCA-96 m=24 variance,GlobalTopM-variance,96,24,24,64.0,0.7873645771765274
GlobalTopM PCA-96 m=24 energy,GlobalTopM-energy,96,24,24,64.0,0.7873645771765274
GlobalTopM PCA-128 m=24 mean_abs,GlobalTopM-mean_abs,128,24,24,64.0,0.7873645771765274
GlobalTopM PCA-128 m=24 variance,GlobalTopM-variance,128,24,24,64.0,0.7873645771765274
GlobalTopM PCA-128 m=24 energy,GlobalTopM-energy,128,24,24,64.0,0.7873645771765274
GlobalTopM PCA-192 m=24 mean_abs,GlobalTopM-mean_abs,192,24,24,64.0,0.7873645771765274
GlobalTopM PCA-192 m=24 variance,GlobalTopM-variance,192,24,24,64.0,0.7873645771765274
GlobalTopM PCA-192 m=24 energy,GlobalTopM-energy,192,24,24,64.0,0.7873645771765274
GlobalTopM PCA-256 m=24 mean_abs,GlobalTopM-mean_abs,256,24,24,64.0,0.7873645771765274
GlobalTopM PCA-256 m=24 variance,GlobalTopM-variance,256,24,24,64.0,0.7873645771765274
GlobalTopM PCA-256 m=24 energy,GlobalTopM-energy,256,24,24,64.0,0.7873645771765274
GlobalTopM PCA-384 m=24 mean_abs,GlobalTopM-mean_abs,384,24,24,64.0,0.7873645771765274
GlobalTopM PCA-384 m=24 variance,GlobalTopM-variance,384,24,24,64.0,0.7873645771765274
GlobalTopM PCA-384 m=24 energy,GlobalTopM-energy,384,24,24,64.0,0.7873645771765274
GlobalTopM PCA-64 m=16 mean_abs,GlobalTopM-mean_abs,64,16,16,96.0,0.7484183901569993
GlobalTopM PCA-64 m=16 variance,GlobalTopM-variance,64,16,16,96.0,0.7484183901569993
GlobalTopM PCA-64 m=16 energy,GlobalTopM-energy,64,16,16,96.0,0.7484183901569993
GlobalTopM PCA-96 m=16 mean_abs,GlobalTopM-mean_abs,96,16,16,96.0,0.7484183901569993
GlobalTopM PCA-96 m=16 variance,GlobalTopM-variance,96,16,16,96.0,0.7484183901569993
GlobalTopM PCA-96 m=16 energy,GlobalTopM-energy,96,16,16,96.0,0.7484183901569993
GlobalTopM PCA-128 m=16 mean_abs,GlobalTopM-mean_abs,128,16,16,96.0,0.7484183901569993
GlobalTopM PCA-128 m=16 variance,GlobalTopM-variance,128,16,16,96.0,0.7484183901569993
GlobalTopM PCA-128 m=16 energy,GlobalTopM-energy,128,16,16,96.0,0.7484183901569993
GlobalTopM PCA-192 m=16 mean_abs,GlobalTopM-mean_abs,192,16,16,96.0,0.7484183901569993
GlobalTopM PCA-192 m=16 variance,GlobalTopM-variance,192,16,16,96.0,0.7484183901569993
GlobalTopM PCA-192 m=16 energy,GlobalTopM-energy,192,16,16,96.0,0.7484183901569993
GlobalTopM PCA-256 m=16 mean_abs,GlobalTopM-mean_abs,256,16,16,96.0,0.7484183901569993
GlobalTopM PCA-256 m=16 variance,GlobalTopM-variance,256,16,16,96.0,0.7484183901569993
GlobalTopM PCA-256 m=16 energy,GlobalTopM-energy,256,16,16,96.0,0.7484183901569993
GlobalTopM PCA-384 m=16 mean_abs,GlobalTopM-mean_abs,384,16,16,96.0,0.7484183901569993
GlobalTopM PCA-384 m=16 variance,GlobalTopM-variance,384,16,16,96.0,0.7484183901569993
GlobalTopM PCA-384 m=16 energy,GlobalTopM-energy,384,16,16,96.0,0.7484183901569993
